src_sample_id,src_cohort,src_label_target,src_binary_label,src_tool_or_builder,src_evidence_level,src_deployment_check_status,src_training_gate,src_url_group,requested_url,scan_ok,scan_error,final_url,scheme,hostname,status_code,redirect_count,response_ms,html_bytes,html_sha256,content_type,server_header,x_powered_by,cache_control,title_len,meta_generator,meta_description_len,canonical_count,jsonld_count,og_tag_count,script_tag_count,stylesheet_count,manifest_link_count,inline_script_bytes,inline_style_bytes,html_comment_count,element_count,h1_count,button_count,form_count,class_token_count,unique_class_token_count,id_count,data_attr_count,unique_data_attr_count,hosting_lovable_app_flag,hosting_replit_app_flag,hosting_vercel_app_flag,hosting_netlify_app_flag,header_x_vercel_id_flag,header_x_nf_request_id_flag,header_cf_ray_flag,header_x_render_origin_server_flag,header_x_replit_user_id_flag,utility_class_count,utility_class_ratio,rounded_class_count,gradient_class_count,shadow_class_count,arbitrary_value_class_count,data_slot_count,data_component_id_count,same_origin_js_fetched,same_origin_css_fetched,js_bytes_scanned,css_bytes_scanned,js_sourcemap_markers,hashed_asset_name_count,asset_fetch_errors,builder_lovable_hits,builder_lovable_flag,builder_bolt_hits,builder_bolt_flag,builder_v0_hits,builder_v0_flag,builder_replit_hits,builder_replit_flag,builder_base44_hits,builder_base44_flag,tech_nextjs_hits,tech_nextjs_flag,tech_nuxt_hits,tech_nuxt_flag,tech_astro_hits,tech_astro_flag,tech_svelte_hits,tech_svelte_flag,tech_angular_hits,tech_angular_flag,tech_vue_hits,tech_vue_flag,tech_react_hits,tech_react_flag,tech_vite_hits,tech_vite_flag,tech_tanstack_start_hits,tech_tanstack_start_flag,tech_tailwind_hits,tech_tailwind_flag,tech_radix_hits,tech_radix_flag,tech_lucide_hits,tech_lucide_flag,tech_framer_motion_hits,tech_framer_motion_flag,tech_supabase_hits,tech_supabase_flag,tech_firebase_hits,tech_firebase_flag,tech_clerk_hits,tech_clerk_flag,tech_wordpress_hits,tech_wordpress_flag,tech_webflow_hits,tech_webflow_flag,tech_framer_site_hits,tech_framer_site_flag,tech_wix_hits,tech_wix_flag,tech_squarespace_hits,tech_squarespace_flag,tech_shadcn_compound_flag,robots_status,robots_bytes,robots_has_sitemap,sitemap_status,sitemap_bytes,manifest_status,manifest_bytes,resolved_ip_count,has_ipv6,tls_subject_cn,tls_issuer_org,tls_not_after,rule_score,rule_score_reasons
AIN-0011,AI_NATIVE,AI_NATIVE_BUILDER,AI,Bolt,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,getnodecast.com,https://getnodecast.com,1,,https://getnodecast.com,https,getnodecast.com,200,0,702.62,690,39fd3e25a332504358ce3d3a817609315af320a958a774c99745a44b263d502d,text/html; charset=UTF-8,Netlify,,"public,max-age=0,must-revalidate",35,,0,0,0,0,1,1,0,0,0,1,13,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,1,1,147039,10222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,4,1,0,0,153,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,getnodecast.com,Let's Encrypt,Oct 17 06:06:13 2026 GMT,0,
AIN-0012,AI_NATIVE,AI_NATIVE_BUILDER,AI,Bolt,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,openmark.co,https://openmark.co,1,,https://www.openmark.co/,https,www.openmark.co,200,1,516.37,3391,4ebc45b3495f6d2ac2c867ffe87ebdaaeb190d55703f1634da72cbc8a738e6dc,text/html; charset=UTF-8,Netlify,,"public,max-age=0,must-revalidate",8,,125,0,0,7,3,2,1,173,0,6,43,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,2,1,515709,52611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,4,1,0,0,728,1,26,1,50,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200,3391,0,200,3391,200,629,1,0,www.openmark.co,Let's Encrypt,Sep 19 01:03:46 2026 GMT,2,Tailwind+Radix weak +2
AIN-0013,AI_NATIVE,AI_NATIVE_BUILDER,AI,Bolt,AI_GOLD_1,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,grepjob.com,https://grepjob.com,1,,https://grepjob.com,https,grepjob.com,200,0,1292.94,688520,e09f494a6f436b6dffd98c290955590e6161c17bfbcd0eda47382c6dccbf4d6c,text/html,Netlify,,no-cache,39,,133,1,0,5,0,1,1,617176,0,18,797,1,14,0,2467,226,4,64,4,0,0,0,0,0,1,0,0,0,2240,0.908,119,10,0,15,0,0,0,1,0,29370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,17,1,0,0,392,1,0,0,134,1,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,65,1,200,250000,200,350,1,0,grepjob.com,Let's Encrypt,Sep  9 22:03:54 2026 GMT,1,high utility-class ratio +1
AIA-0023,AI_CODING_AGENT,AI_CODING_AGENT,AI,Claude Code,AI_GOLD_3,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,cardshows.io,https://cardshows.io,1,,https://cardshows.io,https,cardshows.io,200,0,170.81,626367,f2820f653aea83d0577bb84a77c3e9c65b55abfa1b041c944e26faeab5f5128e,text/html; charset=utf-8,Vercel,Next.js,"private, no-cache, no-store, max-age=0, must-revalidate",39,,177,1,3,7,27,2,0,302287,0,141,2632,1,33,2,11783,421,146,455,12,0,0,0,0,1,0,0,0,0,8312,0.7054,360,14,40,799,55,0,6,2,451563,201304,0,0,0,0,0,0,0,0,0,0,0,0,0,843,1,0,0,0,0,0,0,0,0,0,0,25,1,2,1,0,0,1687,1,100,1,626,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,200,378,1,200,812,200,217797,1,0,cardshows.io,Let's Encrypt,Sep 29 22:38:21 2026 GMT,5,Vercel+Next weak +2; Tailwind+Radix weak +2; high utility-class ratio +1
AIA-0026,AI_CODING_AGENT,AI_CODING_AGENT,AI,Claude Code,AI_GOLD_3,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,nc.md,https://explorer.nc.md,1,,https://explorer.nc.md,https,explorer.nc.md,200,0,16155.8,22167,d3c57bdcaadb0eef943c36ca7ea5431ee9adc9e722b45b78f7e7628fee5f9d02,text/html,cloudflare,,,65,,149,1,0,11,2,1,0,375,0,16,320,1,20,0,207,137,70,17,4,0,0,0,0,0,0,1,0,0,2,0.0097,0,0,0,0,0,0,1,1,57030,48494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1836,0,0,0,0,0,4,1,nc.md,Google Trust Services,Nov  3 13:23:51 2026 GMT,0,
HUM-0001,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_OWNER_NO_AI_STRONG,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,markvincze.com,https://blog.markvincze.com/,1,,https://blog.markvincze.com/,https,blog.markvincze.com,200,0,16224.02,6327,a79cf0168b9711fdf70a9e98837de775aed1b5ee211185df6025ebf663447af7,text/html; charset=utf-8,cloudflare,,max-age=600,11,Hugo 0.78.2,0,0,0,5,6,3,1,166,0,0,90,1,0,0,73,40,3,3,2,0,0,0,0,0,0,1,0,0,3,0.0411,0,0,0,0,0,0,3,2,24924,259571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1248,0,200,16374,200,263,4,1,markvincze.com,Google Trust Services,Oct 29 09:58:34 2026 GMT,0,
HUM-0002,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_OWNER_NO_AI_STRONG,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,declare-ai.org,https://declare-ai.org/,1,,https://declare-ai.org/,https,declare-ai.org,200,0,172.91,7862,ead9faeee722eb96b423b0666929986dda4d90abca0b11b7fcb04c4c75395a36,text/html; charset=utf-8,GitHub.com,,max-age=600,22,,0,0,0,0,2,1,0,0,0,0,78,1,0,0,169,71,0,1,1,0,0,0,0,0,0,0,0,0,48,0.284,0,0,0,0,0,0,1,1,2260,198267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,declare-ai.org,Let's Encrypt,Sep 26 22:52:20 2026 GMT,0,
HUM-0003,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_OWNER_NO_AI_STRONG,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,jeremyheminger.com,https://www.jeremyheminger.com/,1,,https://www.jeremyheminger.com/,https,www.jeremyheminger.com,200,0,540.76,35346,d9e82f4b7099d54429b32ef099b64738b1ab279747d186cd82989ed6eb57b0da,text/html; charset=UTF-8,Apache,PHP/7.0.33,"must-revalidate, no-cache, private",82,Drupal 8 (https://www.drupal.org),0,0,1,2,2,2,1,1320,0,3,570,1,0,1,336,71,18,22,5,0,0,0,0,0,0,0,0,0,10,0.0298,0,0,0,0,0,0,1,2,177934,42907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1594,0,200,81083,200,720,1,0,jeremyheminger.com,Let's Encrypt,Oct 20 16:20:07 2026 GMT,0,
HUM-0004,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_OWNER_NO_AI_STRONG,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,alexburton.com,https://alexburton.com/,1,,https://alexburton.com/,https,alexburton.com,200,0,421.23,14663,1b662da5aee118ddcdf7b94db2d48ae4ce83636203c35d7d37d4616f463c3c24,text/html,nginx,,,70,"Alex Burton - Full Stack Software Developer, Web Developer, and Mentor",182,1,0,7,6,4,0,2377,294,13,148,1,1,0,137,35,17,1,1,0,0,0,0,0,0,0,0,0,33,0.2409,0,0,0,0,0,0,4,4,25641,243025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,69,1,200,228,0,0,1,0,alexburton.com,Let's Encrypt,Aug 28 04:16:49 2026 GMT,0,
HUM-0005,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_OWNER_NO_AI_STRONG,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,danabyerly.com,https://danabyerly.com/,1,,https://danabyerly.com/,https,danabyerly.com,200,0,569.72,29949,bff598aa50c95903965c14c05640333e33c1f68f55e4755eca38c9aa942bcc08,text/html; charset=UTF-8,Netlify,,"public,max-age=0,must-revalidate",44,Eleventy,63,1,0,7,1,0,1,117,14654,2,196,1,0,0,68,36,8,1,1,0,0,0,0,0,1,0,0,0,4,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,575,0,0,0,200,1070,2,0,danabyerly.com,Let's Encrypt,Sep 11 09:48:06 2026 GMT,0,
HUM-0006,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_REPO_NO_AI_EXPLICIT,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,nathanupchurch.com,https://nathanupchurch.com/,1,,https://nathanupchurch.com/,https,nathanupchurch.com,200,0,418.16,30269,4541909b9a1305f59883b7a60df5058360fda052c3a6850ccc857f8c5dca9ff4,text/html,nginx,,,15,Eleventy v3.1.5,194,0,0,0,5,5,0,7668,0,18,216,1,1,3,53,22,12,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,5,352249,30609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,7361,0,200,14039,0,0,1,0,nathanupchurch.com,Let's Encrypt,Oct 13 05:46:42 2026 GMT,0,
HUM-0007,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_OWNER_NO_AI_STRONG,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,sustainable-rails.com,https://sustainable-rails.com/,1,,https://sustainable-rails.com/,https,sustainable-rails.com,200,0,408.02,25213,c6f28cbb3a926b715918dba9d9fcebfe6fd6959e3a3857e0d4f9e31a41efdbc6,text/html,AmazonS3,,"public, no-cache, must-revalidate, max-age=31536000",46,,60,0,0,3,1,1,1,0,0,0,342,1,0,0,606,108,1,0,0,0,0,0,0,0,0,0,0,0,71,0.1172,0,0,0,0,0,0,1,1,131,205052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,194,4,0,sustainable-rails.com,Amazon,Nov  4 23:59:59 2026 GMT,0,
HUM-0008,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_OWNER_NO_AI_STRONG,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,baillehachepascal.dev,https://baillehachepascal.dev/,1,,https://baillehachepascal.dev/,https,baillehachepascal.dev,200,0,8760.49,9535,90bb2c5c6eb40cd6ffe16f1a25b57f4b23b03d984f45c4d4d5362a95e66302b2,text/html; charset=UTF-8,Apache/2.4.65 (Fedora Linux) OpenSSL/3.2.6,PHP/8.3.27,"no-store, no-cache, must-revalidate",37,,37,0,0,0,2,2,0,0,0,0,179,0,0,0,10,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,77,4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,baillehachepascal.dev,Let's Encrypt,Sep 14 23:45:24 2026 GMT,0,
HUM-0009,HUMAN_MODERN,HUMAN_CONTROL,HUMAN,,HUMAN_OWNER_NO_AI_STRONG,EXISTING_PILOT,USE_ONLY_IF_SCAN_OK_1,nwmr.ch,https://liam.nwmr.ch/,1,,https://liam.nwmr.ch/,https,liam.nwmr.ch,200,0,8090.97,1797,cda3ba1cabcb79c44d2013b55f2889cbd87819913fd15062b2e9af6af44e3ba8,text/html; charset=utf-8,openresty,,max-age=86400,13,,62,0,0,0,2,1,0,0,0,1,31,1,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1711,3496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,23,0,0,0,0,0,2,1,*.cloud.nwmr.ch,Let's Encrypt,Nov  5 21:40:30 2026 GMT,0,
