sample_id,repo,repo_url,historical_stack,strategy,build_command_template,output_hint,cutoff,preferred_cutoff,freeze_mode,snapshot_status,scan_status,notes
HIS-0011,orbitthemes/geekx,https://github.com/orbitthemes/geekx,CSS/Bootstrap,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0012,fed/fknussel.github.io,https://github.com/fed/fknussel.github.io,JavaScript,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0013,nmssilva/nmssilva.github.io,https://github.com/nmssilva/nmssilva.github.io,JavaScript,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0014,auralia/auralia.github.io,https://github.com/auralia/auralia.github.io,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0015,agjaeger/agjaeger.github.io,https://github.com/agjaeger/agjaeger.github.io,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0016,Vignesh6v/vigneshrv.com,https://github.com/Vignesh6v/vigneshrv.com,CSS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0017,filip-school/FrenchWebsite,https://github.com/filip-school/FrenchWebsite,CSS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0018,SrujanAakurathi/SrujanAakurathi.github.io,https://github.com/SrujanAakurathi/SrujanAakurathi.github.io,JavaScript,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0019,Hashfyre/hashfyre-personal-hugo,https://github.com/Hashfyre/hashfyre-personal-hugo,HTML/Hugo,hugo,hugo --destination {output_dir},public,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Hugo static build.
HIS-0020,jorge-sanz/jorge-sanz.github.io,https://github.com/jorge-sanz/jorge-sanz.github.io,JavaScript/GitHub Pages,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0021,website-templates/travel_fluid-template,https://github.com/website-templates/travel_fluid-template,CSS/Pug,node_auto,npm ci || npm install; npm run build,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Pug/Node build; detect dist/build/public.
HIS-0022,website-templates/webstudio_responsive-template,https://github.com/website-templates/webstudio_responsive-template,HTML/Pug,node_auto,npm ci || npm install; npm run build,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Pug/Node build; detect dist/build/public.
HIS-0023,website-templates/simple-product_responsive-template,https://github.com/website-templates/simple-product_responsive-template,CSS/Pug,node_auto,npm ci || npm install; npm run build,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Pug/Node build; detect dist/build/public.
HIS-0024,website-templates/website-templates.github.io,https://github.com/website-templates/website-templates.github.io,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0025,website-templates/website-launch-pages,https://github.com/website-templates/website-launch-pages,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0026,georgebarnick/georgebarnick.photo,https://github.com/georgebarnick/georgebarnick.photo,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0027,Don-Lab/Elite-Barber-Shop,https://github.com/Don-Lab/Elite-Barber-Shop,PHP/JavaScript,php_runtime,php -S 127.0.0.1:{port} -t {source_dir},source,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,PHP site; scan via local PHP server.
HIS-0028,mikalcallahan/mikalcallahan.github.io,https://github.com/mikalcallahan/mikalcallahan.github.io,GitHub Pages,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0029,Hoshiningen/hoshiningen.github.io,https://github.com/Hoshiningen/hoshiningen.github.io,Jekyll/CSS,jekyll,bundle exec jekyll build -d {output_dir} || jekyll build -d {output_dir},_site,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Jekyll build.
HIS-0030,Don-Lab/DonLab1.5,https://github.com/Don-Lab/DonLab1.5,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0031,santhisenan/photographer,https://github.com/santhisenan/photographer,HTML/Bootstrap,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0032,mariabohorquez/mariabohorquez.github.io-.old-one,https://github.com/mariabohorquez/mariabohorquez.github.io-.old-one,HTML/CSS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0033,gmartinezramirez-old/academic-kickstart,https://github.com/gmartinezramirez-old/academic-kickstart,Hugo/Shell,hugo,hugo --destination {output_dir},public,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Hugo static build.
HIS-0034,NadiaQN/NadiaQN,https://github.com/NadiaQN/NadiaQN,CSS/JS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0035,gvillablanca/gvillablancaP,https://github.com/gvillablanca/gvillablancaP,HTML/jQuery,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0036,visidevi/visidevi.github.io,https://github.com/visidevi/visidevi.github.io,CSS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0037,matias1305/matias-espinoza,https://github.com/matias1305/matias-espinoza,JavaScript/Bootstrap,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0038,nelbelt/nelbelt,https://github.com/nelbelt/nelbelt,CSS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0039,ByFaySor/ByFaySor.github.io,https://github.com/ByFaySor/ByFaySor.github.io,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0040,zazk/zazk.github.io,https://github.com/zazk/zazk.github.io,HTML,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0041,DevLogger/devlogger.github.io,https://github.com/DevLogger/devlogger.github.io,HTML/Hexo,hexo,npm ci || npm install; npm run generate || npx hexo generate,public,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Hexo static build.
HIS-0042,FernandoTorresL/OLD_fernandotorresl.github.io,https://github.com/FernandoTorresL/OLD_fernandotorresl.github.io,CSS/GitHub Pages,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0043,jonathas/crisrr.github.io,https://github.com/jonathas/crisrr.github.io,HTML/Bootstrap,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0044,epistrephein/blog.epistrephe.in,https://github.com/epistrephein/blog.epistrephe.in,Jekyll/CSS,jekyll,bundle exec jekyll build -d {output_dir} || jekyll build -d {output_dir},_site,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Jekyll build.
HIS-0045,destroymayor/Practices-React-GithubPage,https://github.com/destroymayor/Practices-React-GithubPage,React/JavaScript,node_auto,npm ci || npm install; npm run build,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,React build; detect dist/build/public.
HIS-0046,JohnField/googledoc-as-githubpage,https://github.com/JohnField/googledoc-as-githubpage,CSS/GitHub Pages,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0047,rbreeze/rbreeze.github.io---old,https://github.com/rbreeze/rbreeze.github.io---old,HTML/JS,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0048,shuymn/shuymn.github.io,https://github.com/shuymn/shuymn.github.io,CSS/GitHub Pages,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0049,kakurk/kkurkela.github.io,https://github.com/kakurk/kkurkela.github.io,GitHub Pages,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
HIS-0050,fe-101/doc-site-template,https://github.com/fe-101/doc-site-template,GitHub Pages,static_auto,copy web root containing index.html; no compilation,auto,2020-12-31T23:59:59Z,2019-12-31T23:59:59Z,"resolve current HEAD, verify commit date <= cutoff, then write SHA lock",RECIPE_READY,PENDING_EXTERNAL_GITHUB_ACCESS,Static website/GitHub Pages snapshot.
