rank,name,url,category,subcategory,industry,design_style,color_mode,typography,hero_type,motion_level,product_ui,3d_webgl,distinctive_trait,curation_score_10,priority,tags,status,added_on,source_url,notes
11,Mercury,https://mercury.com,SaaS,Business banking,Fintech,"Soft premium, minimal",Light,Refined sans,Dashboard UI,Medium,High,Low,Premium fintech restraint,9.2,A,fintech|premium|minimal|product-ui,Active,2026-08-07,https://mercury.com,
12,Intercom,https://www.intercom.com,SaaS,Customer service,B2B Software,"Bold product-led, AI-oriented",Mixed,Large sans,Product UI + AI flows,High,High,Low,Strong narrative structure and UI storytelling,9.2,A,ai|b2b|bold|product-ui,Active,2026-08-07,https://www.intercom.com,
13,Cursor,https://www.cursor.com,SaaS,AI code editor,Developer Tools,"Editorial tech, restrained",Light,Sans + mono,Product/code environment,Medium,High,Low,Unusually calm AI/developer positioning,9.6,A,ai|developer|editorial|minimal|code,Active,2026-08-07,https://www.cursor.com,
14,Retool,https://retool.com,SaaS,Internal tools,Developer Tools,"Product-heavy, structured",Mixed,Sans,Interactive product UI,Medium,High,Low,Excellent complex-product explanation,9.0,B,developer|product-ui|dashboard|b2b,Active,2026-08-07,https://retool.com,
15,Sentry,https://sentry.io,SaaS,Application monitoring,Developer Tools,"Dark, technical, expressive",Dark,Sans + mono,Code + product UI,High,High,Medium,Distinctive developer brand system,9.1,A,developer|dark|technical|motion,Active,2026-08-07,https://sentry.io,
16,Supabase,https://supabase.com,SaaS,Backend platform,Developer Tools,"Dark developer, green accents",Dark,Sans + mono,Dashboard + code,Medium,High,Low,Strong open-source developer aesthetic,9.2,A,developer|dark|green|product-ui,Active,2026-08-07,https://supabase.com,
17,Railway,https://railway.com,SaaS,Cloud deployment,Developer Tools,"Dark, compact, technical",Dark,Sans + mono,Infrastructure UI,Medium,High,Low,Dense technical interface presented cleanly,9.0,B,developer|dark|cloud|product-ui,Active,2026-08-07,https://railway.com,
18,Warp,https://www.warp.dev,SaaS,Terminal / Developer productivity,Developer Tools,"Dark, neon, motion-led",Dark,Sans + mono,Terminal/product UI,High,High,Medium,Strong developer-tool dramatization,9.3,A,developer|terminal|dark|motion|ai,Active,2026-08-07,https://www.warp.dev,
19,Tailscale,https://tailscale.com,SaaS,Networking,Developer Tools,"Friendly technical, illustrated",Light,Sans,Diagram + product UI,Medium,Medium,Low,Makes networking concepts visually approachable,9.0,B,developer|networking|illustration|technical,Active,2026-08-07,https://tailscale.com,
20,Neon,https://neon.com,SaaS,Database,Developer Tools,"Dark, luminous, technical",Dark,Sans + mono,Database/product UI,High,High,Medium,Strong visual metaphor for infrastructure,9.2,A,database|developer|dark|neon|product-ui,Active,2026-08-07,https://neon.com,
21,Sanity,https://www.sanity.io,SaaS,Content platform,Developer Tools,Bold editorial tech,Mixed,Sans,Content/product UI,High,High,Low,Expressive branding combined with real UI,9.2,A,cms|developer|bold|product-ui,Active,2026-08-07,https://www.sanity.io,
22,Contentful,https://www.contentful.com,SaaS,Content platform,Enterprise Software,"Clean enterprise, product-led",Light,Sans,Platform diagrams + UI,Medium,High,Low,Good enterprise information architecture,8.8,B,cms|enterprise|clean|product-ui,Active,2026-08-07,https://www.contentful.com,
23,Dovetail,https://dovetail.com,SaaS,Customer research,B2B Software,"Warm, clean, editorial",Light,Sans,Research/product UI,Medium,High,Low,Strong visual organization of qualitative product UI,9.1,A,research|editorial|product-ui|b2b,Active,2026-08-07,https://dovetail.com,
24,Maze,https://maze.co,SaaS,Product research,Design Tools,"Bright, geometric, clean",Light,Sans,Product workflow,Medium,High,Low,Strong visual hierarchy and geometric system,9.0,B,research|design-tool|geometric|product-ui,Active,2026-08-07,https://maze.co,
25,Loom,https://www.loom.com,SaaS,Video communication,Productivity,Friendly product-led,Light,Sans,Video/product UI,Medium,High,Low,Clear product demonstration and approachable brand,8.9,B,video|productivity|product-ui|friendly,Active,2026-08-07,https://www.loom.com,
26,Brex,https://www.brex.com,SaaS,Finance platform,Fintech,"Premium, bold, enterprise fintech",Mixed,Sans,Product UI + editorial imagery,Medium,High,Low,Strong premium B2B fintech direction,9.1,A,fintech|enterprise|premium|product-ui,Active,2026-08-07,https://www.brex.com,
27,Deel,https://www.deel.com,SaaS,HR / Payroll,B2B Software,"Bold, global, modular",Light,Sans,Illustration + product UI,Medium,High,Low,Large-scale content architecture executed well,8.8,B,hr|global|b2b|product-ui,Active,2026-08-07,https://www.deel.com,
28,Algolia,https://www.algolia.com,SaaS,Search infrastructure,Developer Tools,"Technical, clean, high contrast",Mixed,Sans + mono,Search/product demo,Medium,High,Low,Strong technical storytelling,8.9,B,search|developer|technical|product-ui,Active,2026-08-07,https://www.algolia.com,
29,GitBook,https://www.gitbook.com,SaaS,Documentation,Developer Tools,"Minimal, documentation-led",Light,Sans,Docs/product UI,Medium,High,Low,Good example of product/documentation fusion,8.9,B,docs|developer|minimal|product-ui,Active,2026-08-07,https://www.gitbook.com,
30,Air,https://air.inc,SaaS,Digital asset management,Creative Tools,"Editorial, image-rich, minimal",Light,Sans,Visual asset UI,Medium,High,Low,Excellent image-led SaaS presentation,9.1,A,dam|creative|editorial|product-ui,Active,2026-08-07,https://air.inc,
31,Figma,https://www.figma.com,Webapp,Collaborative design,Design Tools,"Colorful, playful, product-led",Mixed,Bold sans,Interactive product examples,High,High,Medium,Strong brand-to-product continuity,9.6,A,design-tool|colorful|product-ui|motion,Active,2026-08-07,https://www.figma.com,
32,Raycast,https://www.raycast.com,Webapp,Productivity launcher,Productivity,"Dark premium, macOS-like",Dark,Sans,Product UI / extensions,High,High,Low,Exceptional polish and motion,9.7,A,dark|productivity|macos|motion|product-ui,Active,2026-08-07,https://www.raycast.com,
33,Spline,https://spline.design,Webapp,3D design,Creative Tools,"3D, immersive, dark",Dark,Sans,Interactive 3D canvas,High,High,High,Excellent 3D product storytelling,9.6,A,3d|webgl|creative|dark|interactive,Active,2026-08-07,https://spline.design,
34,Superlist,https://www.superlist.com,Webapp,Task management,Productivity,"Playful, bold, product-led",Mixed,Large sans,Product UI,High,High,Medium,Distinctive personality with excellent product demos,9.5,A,productivity|playful|bold|product-ui|motion,Active,2026-08-07,https://www.superlist.com,
35,Pitch,https://pitch.com,Webapp,Presentations,Productivity,"Colorful, modern, collaborative",Mixed,Sans,Presentation/product UI,Medium,High,Low,Strong visual product demonstrations,9.1,A,presentation|colorful|product-ui|collaboration,Active,2026-08-07,https://pitch.com,
36,Notion,https://www.notion.com,Webapp,Workspace,Productivity,"Minimal, illustrated, product-led",Light,Sans,Workspace UI,Medium,High,Low,Excellent scalable marketing system,9.3,A,productivity|minimal|illustration|product-ui,Active,2026-08-07,https://www.notion.com,
37,Readymag,https://readymag.com,Webapp,No-code publishing,Design Tools,"Experimental, typographic, editorial",Mixed,Expressive typography,Creative examples / editor,High,High,Medium,Design-first product identity,9.5,A,editorial|typography|creative|motion,Active,2026-08-07,https://readymag.com,
38,Granola,https://www.granola.ai,Webapp,AI meeting notes,AI Productivity,"Editorial, calm, minimal",Light,Sans,Product UI,Medium,High,Low,Elegant AI-product restraint,9.4,A,ai|editorial|minimal|product-ui,Active,2026-08-07,https://www.granola.ai,
39,Typeform,https://www.typeform.com,Webapp,Forms,Productivity,"Human, conversational, bold",Mixed,Sans,Interactive form/product UI,Medium,High,Low,Human-centered interaction language,9.0,B,forms|interactive|human|product-ui,Active,2026-08-07,https://www.typeform.com,
40,Arc,https://arc.net,Webapp,Browser,Consumer Software,"Playful, gradient, expressive",Mixed,Sans,Browser UI,High,High,Medium,Strong consumer-software art direction,9.4,A,browser|consumer|gradient|playful|motion,Active,2026-08-07,https://arc.net,
41,Rive,https://rive.app,Webapp,Interactive animation,Creative Tools,"Motion-first, vibrant, technical",Dark,Sans,Interactive animation editor,High,High,Medium,Excellent motion/product integration,9.5,A,animation|creative|interactive|product-ui,Active,2026-08-07,https://rive.app,
42,Miro,https://miro.com,Webapp,Collaborative whiteboard,Productivity,"Bright, modular, product-led",Light,Sans,Board/product UI,Medium,High,Low,Complex collaboration product shown clearly,9.0,B,collaboration|productivity|product-ui|bright,Active,2026-08-07,https://miro.com,
43,Descript,https://www.descript.com,Webapp,Audio/video editing,Creative Tools,"Editorial, playful, product-first",Mixed,Sans,Editor UI,High,High,Low,Strong creator-product storytelling,9.2,A,video|audio|creative|product-ui|motion,Active,2026-08-07,https://www.descript.com,
44,Tana,https://tana.inc,Webapp,Knowledge management,Productivity,"Dark technical, knowledge-graph",Dark,Sans,Knowledge UI,Medium,High,Low,Distinctive graph/workspace presentation,9.0,B,knowledge|dark|productivity|product-ui,Active,2026-08-07,https://tana.inc,
45,Amie,https://amie.so,Webapp,Calendar / productivity,Productivity,"Soft, colorful, premium",Light,Sans,Calendar/product UI,High,High,Low,Beautiful consumer productivity aesthetic,9.3,A,calendar|productivity|soft|colorful|product-ui,Active,2026-08-07,https://amie.so,
46,Craft,https://www.craft.do,Webapp,Documents / notes,Productivity,"Premium, soft, Apple-like",Light,Sans,Document/product UI,Medium,High,Low,Highly polished productivity presentation,9.2,A,notes|documents|premium|product-ui,Active,2026-08-07,https://www.craft.do,
47,Cosmos,https://www.cosmos.so,Webapp,Visual discovery,Creative Tools,"Image-led, minimal, immersive",Dark,Sans,Visual feed/product UI,Medium,High,Low,Excellent visual-content interface,9.2,A,visual|discovery|creative|minimal|product-ui,Active,2026-08-07,https://www.cosmos.so,
48,Are.na,https://www.are.na,Webapp,Knowledge / visual bookmarking,Creative Tools,"Brutalist, utilitarian, editorial",Light,Sans,Content grid,Low,High,Low,Influential anti-polish information design,9.0,B,brutalist|knowledge|grid|editorial,Active,2026-08-07,https://www.are.na,
49,Perplexity,https://www.perplexity.ai,Webapp,AI search,AI Productivity,"Minimal, editorial, utility-first",Light,Sans,Search interface,Medium,High,Low,Strong utility-first AI interface language,9.1,A,ai|search|minimal|product-ui,Active,2026-08-07,https://www.perplexity.ai,
50,Gamma,https://gamma.app,Webapp,AI presentations,AI Productivity,"Modern, visual, template-led",Mixed,Sans,Generated content/product UI,Medium,High,Low,Good AI creation-flow presentation,8.9,B,ai|presentation|product-ui|visual,Active,2026-08-07,https://gamma.app,
51,Clay,https://www.clay.com,Webapp,Sales workflow,B2B Software,"Bold, warm, product-heavy",Light,Sans,Workflow/product UI,High,High,Low,Strong brand personality for complex B2B software,9.3,A,sales|b2b|bold|product-ui|motion,Active,2026-08-07,https://www.clay.com,
52,Rewind,https://www.rewind.ai,Webapp,Personal AI,AI Productivity,"Dark, cinematic, product-led",Dark,Sans,Product visualization,High,High,Medium,Strong cinematic technology storytelling,9.0,B,ai|dark|cinematic|product-ui,Active,2026-08-07,https://www.rewind.ai,
53,Napkin AI,https://www.napkin.ai,Webapp,AI visual communication,AI Productivity,"Bright, simple, illustration-led",Light,Sans,Generated visual UI,Medium,High,Low,Clear visual-AI product proposition,8.8,B,ai|visual|illustration|product-ui,Active,2026-08-07,https://www.napkin.ai,
54,Kosmik,https://www.kosmik.app,Webapp,Visual workspace,Creative Tools,"Spatial, dark, creative",Dark,Sans,Infinite canvas/product UI,Medium,High,Low,Interesting spatial interface reference,9.0,B,creative|spatial|dark|product-ui,Active,2026-08-07,https://www.kosmik.app,
55,Cron / Notion Calendar,https://www.notion.com/product/calendar,Webapp,Calendar,Productivity,"Minimal, product-led",Light,Sans,Calendar UI,Medium,High,Low,Clean calendar interaction reference,8.9,B,calendar|minimal|productivity|product-ui,Active,2026-08-07,https://www.notion.com/product/calendar,
56,Polestar,https://www.polestar.com,Website,Automotive,Automotive,"Scandinavian minimal, premium",Light,Modern sans,Product photography / configurator,High,Medium,Medium,Excellent luxury-tech restraint,9.6,A,automotive|minimal|premium|scandinavian,Active,2026-08-07,https://www.polestar.com,
57,Nothing,https://nothing.tech,Website,Consumer technology,Technology,"Monochrome, dot-grid, industrial",Mixed,Dot-matrix + sans,Product photography,High,Low,Medium,Distinctive visual identity applied digitally,9.5,A,tech|monochrome|industrial|typography,Active,2026-08-07,https://nothing.tech,
58,Teenage Engineering,https://teenage.engineering,Website,Consumer electronics,Technology,"Industrial, playful, ultra-minimal",Light,Sans / technical,Product photography,Medium,Low,Low,Exceptional product-first art direction,9.7,A,industrial|product|minimal|playful,Active,2026-08-07,https://teenage.engineering,
59,Aesop,https://www.aesop.com,Website,Beauty / retail,Luxury,"Luxury editorial, restrained",Light,Serif + sans,Editorial product photography,Medium,Low,Low,Elegant editorial commerce language,9.5,A,luxury|editorial|retail|minimal,Active,2026-08-07,https://www.aesop.com,
60,Apple,https://www.apple.com,Website,Consumer technology,Technology,"Product-first, cinematic, minimal",Mixed,Sans,Cinematic product storytelling,High,Medium,High,Benchmark for scroll-based product storytelling,9.8,A,tech|product|cinematic|minimal|motion,Active,2026-08-07,https://www.apple.com,
61,Nike,https://www.nike.com,Website,Fashion / sports,Retail,"Bold commerce, image-led",Mixed,Bold sans,Campaign imagery / commerce,High,Low,Medium,Strong campaign-to-commerce integration,9.1,A,fashion|sports|commerce|image-led,Active,2026-08-07,https://www.nike.com,
62,Gentle Monster,https://www.gentlemonster.com,Website,Eyewear / fashion,Luxury,"Surreal, cinematic, experimental",Dark,Sans,3D/campaign visuals,High,Low,High,Exceptional experimental retail art direction,9.6,A,fashion|surreal|3d|experimental|luxury,Active,2026-08-07,https://www.gentlemonster.com,
63,Arc'teryx,https://arcteryx.com,Website,Outdoor apparel,Retail,"Technical, premium, image-led",Mixed,Sans,Product/lifestyle photography,Medium,Low,Low,Strong technical luxury outdoor presentation,9.1,A,outdoor|technical|premium|commerce,Active,2026-08-07,https://arcteryx.com,
64,COLLINS,https://www.wearecollins.com,Website,Design studio,Creative Services,Bold brand storytelling,Mixed,Expressive typography,Case-study storytelling,High,Low,Medium,Top-tier brand case study presentation,9.8,A,studio|branding|typography|case-study,Active,2026-08-07,https://www.wearecollins.com,
65,Koto,https://koto.studio,Website,Design studio,Creative Services,"Bold, colorful, brand-led",Mixed,Large sans,Case-study montage,High,Low,Medium,Excellent visual identity and project presentation,9.6,A,studio|branding|bold|colorful,Active,2026-08-07,https://koto.studio,
66,Pentagram,https://www.pentagram.com,Website,Design studio,Creative Services,"Editorial grid, image-heavy",Light,Sans,Project archive,Medium,Low,Low,Benchmark for dense portfolio architecture,9.3,A,studio|editorial|grid|portfolio,Active,2026-08-07,https://www.pentagram.com,
67,Base Design,https://www.basedesign.com,Website,Design studio,Creative Services,"Editorial, refined, flexible",Mixed,Expressive sans,Case studies,High,Low,Medium,Strong editorial presentation system,9.5,A,studio|branding|editorial|case-study,Active,2026-08-07,https://www.basedesign.com,
68,PORTO ROCHA,https://www.portorocha.com,Website,Design studio,Creative Services,"Swiss-inspired, typographic, experimental",Mixed,Expressive typography,Portfolio / case studies,High,Low,Medium,Excellent typography and layout experimentation,9.6,A,studio|typography|swiss|experimental,Active,2026-08-07,https://www.portorocha.com,
69,Ragged Edge,https://raggededge.com,Website,Brand studio,Creative Services,"Bold editorial, provocative",Mixed,Large display type,Case studies,High,Low,Low,Strong tone and high-impact identity work,9.5,A,studio|branding|editorial|bold-type,Active,2026-08-07,https://raggededge.com,
70,Studio Dumbar / DEPT®,https://studiodumbar.com,Website,Design studio,Creative Services,"Motion identity, experimental",Mixed,Kinetic typography,Motion-first case studies,High,Low,Medium,Benchmark for kinetic identity systems,9.7,A,studio|motion|typography|experimental,Active,2026-08-07,https://studiodumbar.com,
71,DIA,https://dia.tv,Website,Design studio,Creative Services,"Kinetic typography, systems-led",Mixed,Kinetic display type,Motion identity work,High,Low,Medium,Excellent motion-system reference,9.6,A,studio|motion|typography|systems,Active,2026-08-07,https://dia.tv,
72,Lusion,https://lusion.co,Website,Digital studio,Creative Services,"Immersive, 3D, WebGL",Dark,Sans,3D interactive scenes,High,Low,High,High-end immersive web execution,9.7,A,studio|3d|webgl|immersive|motion,Active,2026-08-07,https://lusion.co,
73,Active Theory,https://activetheory.net,Website,Digital studio,Creative Services,"Cinematic, interactive, WebGL",Dark,Sans,Immersive interactive scenes,High,Low,High,Leading experiential web reference,9.8,A,studio|webgl|cinematic|interactive|3d,Active,2026-08-07,https://activetheory.net,
74,Locomotive,https://locomotive.ca,Website,Digital studio,Creative Services,"Bold typography, motion, editorial",Mixed,Large display sans,Case studies,High,Low,Medium,Strong motion and navigation patterns,9.5,A,studio|motion|typography|portfolio,Active,2026-08-07,https://locomotive.ca,
75,Build in Amsterdam,https://www.buildinamsterdam.com,Website,Digital agency,Creative Services,"Premium e-commerce, editorial",Mixed,Sans,Case studies / commerce,High,Low,Medium,Excellent digital-commerce case studies,9.4,A,agency|commerce|premium|editorial,Active,2026-08-07,https://www.buildinamsterdam.com,
76,BASIC/DEPT®,https://www.basicagency.com,Website,Digital agency,Creative Services,"Bold, youth-culture, digital-first",Dark,Sans,Case-study montage,High,Low,Medium,Strong contemporary agency art direction,9.3,A,agency|bold|culture|motion,Active,2026-08-07,https://www.basicagency.com,
77,Instrument,https://www.instrument.com,Website,Digital agency,Creative Services,"Minimal, refined, image-led",Light,Sans,Case studies,Medium,Low,Low,Highly polished restrained portfolio,9.3,A,agency|minimal|portfolio|image-led,Active,2026-08-07,https://www.instrument.com,
78,BUCK,https://buck.co,Website,Creative company,Creative Services,"Colorful, motion-heavy, playful",Mixed,Expressive sans,Animation / projects,High,Low,High,Exceptional motion and character work,9.6,A,studio|animation|colorful|motion,Active,2026-08-07,https://buck.co,
79,ManvsMachine,https://www.manvsmachine.co.uk,Website,Motion studio,Creative Services,"Cinematic, 3D, premium",Dark,Sans,Motion/3D reels,High,Low,High,Top-tier 3D and motion portfolio,9.6,A,studio|3d|motion|cinematic,Active,2026-08-07,https://www.manvsmachine.co.uk,
80,Stink Studios,https://www.stinkstudios.com,Website,Digital studio,Creative Services,"Experimental, interactive, campaign-led",Mixed,Sans,Interactive case studies,High,Low,Medium,Strong campaign and experience work,9.3,A,studio|interactive|campaign|motion,Active,2026-08-07,https://www.stinkstudios.com,
81,AKQA,https://www.akqa.com,Website,Creative agency,Creative Services,"Minimal, premium, image-led",Dark,Sans,Case studies,Medium,Low,Low,Strong global agency portfolio discipline,9.1,A,agency|premium|minimal|portfolio,Active,2026-08-07,https://www.akqa.com,
82,Mother Design,https://motherdesign.com,Website,Brand studio,Creative Services,"Bold, conceptual, editorial",Mixed,Display typography,Case studies,Medium,Low,Low,Strong conceptual brand storytelling,9.3,A,studio|branding|editorial|bold,Active,2026-08-07,https://motherdesign.com,
83,Made Thought,https://made-thought.com,Website,Design studio,Creative Services,"Luxury minimal, editorial",Light,Serif + sans,Case studies,Medium,Low,Low,Beautiful premium brand presentation,9.4,A,studio|luxury|minimal|editorial,Active,2026-08-07,https://made-thought.com,
84,North,https://northdesign.co.uk,Website,Design studio,Creative Services,"Swiss minimal, identity-led",Light,Sans,Case studies,Medium,Low,Low,Disciplined identity presentation,9.3,A,studio|swiss|minimal|branding,Active,2026-08-07,https://northdesign.co.uk,
85,Studio Feixen,https://www.studiofeixen.ch,Website,Design studio,Creative Services,"Playful Swiss, colorful, experimental",Mixed,Expressive typography,Portfolio,High,Low,Medium,Distinctive typographic play,9.5,A,studio|swiss|colorful|typography|experimental,Active,2026-08-07,https://www.studiofeixen.ch,
86,The Pudding,https://pudding.cool,Blog,Visual essays / data journalism,Editorial,"Experimental editorial, data storytelling",Mixed,Editorial sans/serif,Interactive story,High,Low,Medium,Benchmark for scrollytelling and bespoke article interfaces,9.9,A,editorial|data|scrollytelling|interactive,Active,2026-08-07,https://pudding.cool,Core editorial benchmark
87,It's Nice That,https://www.itsnicethat.com,Blog,Design / culture magazine,Editorial,"Bold magazine grid, colorful",Light,Bold sans,Editorial feed,Medium,Low,Low,Excellent visual culture magazine system,9.5,A,editorial|magazine|grid|colorful,Active,2026-08-07,https://www.itsnicethat.com,
88,WePresent,https://wepresent.wetransfer.com,Blog,Arts / culture,Editorial,"Image-led editorial, cinematic",Mixed,Editorial serif/sans,Feature story,High,Low,Medium,Strong long-form visual storytelling,9.6,A,editorial|culture|image-led|storytelling,Active,2026-08-07,https://wepresent.wetransfer.com,
89,The Creative Independent,https://thecreativeindependent.com,Blog,Creative practice,Editorial,"Retro, typographic, text-forward",Light,Serif + sans,Editorial index,Low,Low,Low,Distinctive independent publishing identity,9.3,A,editorial|retro|typography|independent,Active,2026-08-07,https://thecreativeindependent.com,
90,Stripe Press,https://press.stripe.com,Blog,Books / ideas,Editorial,"Premium editorial, bookish",Light,Serif + sans,Book catalog / essays,Low,Low,Low,Excellent premium publishing aesthetic,9.4,A,editorial|books|serif|premium,Active,2026-08-07,https://press.stripe.com,
91,Fonts In Use,https://fontsinuse.com,Blog,Typography archive,Editorial,"Dense archival grid, utilitarian",Light,Typography-led,Archive grid,Low,Low,Low,Excellent taxonomy and typography reference,9.2,A,typography|archive|grid|editorial,Active,2026-08-07,https://fontsinuse.com,
92,Creative Boom,https://www.creativeboom.com,Blog,Creative industries,Editorial,"Modern magazine, image-rich",Light,Sans + serif,Editorial feed,Medium,Low,Low,Strong contemporary magazine structure,9.0,B,editorial|magazine|creative|image-led,Active,2026-08-07,https://www.creativeboom.com,
93,Brand New,https://www.underconsideration.com/brandnew,Blog,Brand identity criticism,Editorial,"Dense editorial, graphic-design focused",Light,Sans,Article feed,Low,Low,Low,Useful brand-design editorial archive,8.9,B,branding|editorial|archive|design,Active,2026-08-07,https://www.underconsideration.com/brandnew,
94,Wallpaper*,https://www.wallpaper.com,Blog,Design / architecture / luxury,Editorial,"Premium magazine, image-led",Light,Editorial sans/serif,Magazine feature,Medium,Low,Low,Strong luxury editorial visual hierarchy,9.1,A,editorial|luxury|architecture|magazine,Active,2026-08-07,https://www.wallpaper.com,
95,Dezeen,https://www.dezeen.com,Blog,Architecture / design,Editorial,High-density editorial grid,Light,Sans,News grid,Low,Low,Low,Excellent high-volume visual editorial architecture,9.0,B,architecture|editorial|grid|news,Active,2026-08-07,https://www.dezeen.com,
96,Colossal,https://www.thisiscolossal.com,Blog,Art / visual culture,Editorial,"Image-first, clean editorial",Light,Sans,Large image stories,Low,Low,Low,Very effective art-focused image hierarchy,9.0,B,art|editorial|image-led|culture,Active,2026-08-07,https://www.thisiscolossal.com,
97,The Gentlewoman,https://thegentlewoman.co.uk,Blog,Fashion / culture,Editorial,"Fashion editorial, restrained",Light,Serif + sans,Editorial cover / features,Low,Low,Low,Strong print-to-web fashion language,9.2,A,fashion|editorial|magazine|minimal,Active,2026-08-07,https://thegentlewoman.co.uk,
98,Apartamento,https://www.apartamentomagazine.com,Blog,Interiors / culture,Editorial,Warm print-inspired editorial,Light,Serif + sans,Magazine stories,Low,Low,Low,Distinctive warm independent-magazine identity,9.1,A,interiors|editorial|print-inspired|culture,Active,2026-08-07,https://www.apartamentomagazine.com,
99,The Marginalian,https://www.themarginalian.org,Blog,Essays / culture,Editorial,"Long-form literary, text-led",Light,Serif,Long-form essay,Low,Low,Low,Strong long-form reading experience,9.0,B,longform|literary|editorial|serif,Active,2026-08-07,https://www.themarginalian.org,
100,Works in Progress,https://worksinprogress.co,Blog,Ideas / economics / technology,Editorial,"Modern long-form, restrained",Light,Serif + sans,Long-form feature,Low,Low,Low,Clean modern journal design with strong reading hierarchy,9.2,A,longform|journal|editorial|ideas,Active,2026-08-07,https://worksinprogress.co,
101,MUBI,https://mubi.com,Website,Streaming / cinema,Media & Entertainment,"Cinema editorial, bold typographic, image-led",Mixed,"Bold sans, editorial scale",Cinematic film-led hero,Medium,Medium,Low,Film curation treated like an editorial art object,9.6,A,cinema|editorial|film|typography|image-led,Active,2026-08-07,https://mubi.com,Strong reference for culture/media art direction
102,A24,https://a24films.com,Website,Film studio / culture,Media & Entertainment,"Editorial grid, raw, image-led",Mixed,Bold sans,Film trailer / title grid,Medium,Low,Low,A content archive that feels like a living film-poster system,9.7,A,film|editorial|grid|culture|image-led,Active,2026-08-07,https://a24films.com,Excellent content-first visual identity
103,MSCHF,https://mschf.com,Website,Art collective / drops,Culture,"Anti-design, internet-native, experimental",Light,Utilitarian sans,Drop archive / index,Low,Low,Low,Radical anti-polish interface that turns an archive into identity,9.5,A,anti-design|experimental|internet-native|archive|culture,Active,2026-08-07,https://mschf.com,
104,Jacquemus,https://www.jacquemus.com,Website,Fashion commerce,Luxury / Fashion,"Minimal luxury, campaign-led, editorial",Light,Refined sans,Campaign photography,Medium,Low,Low,Oversized imagery and whitespace create strong luxury pacing,9.4,A,fashion|luxury|editorial|minimal|image-led,Active,2026-08-07,https://www.jacquemus.com,
105,LOEWE,https://www.loewe.com,Website,Fashion commerce,Luxury / Fashion,Art-directed luxury editorial,Light,Serif + sans,Editorial campaign / product,Medium,Low,Low,"Art, craft and commerce blended without feeling template-driven",9.5,A,fashion|luxury|editorial|art-direction|commerce,Active,2026-08-07,https://www.loewe.com,
